Type,Trans Date,Post Date,Description,Amount,Category,Memo,
Sale,10/19/2017,10/22/2017,LOVES COUNTRY 00003400,-1.61,y,,
Payment,10/20/2017,10/20/2017,Payment Thank You - Web,1200,y,,
Sale,10/19/2017,10/20/2017,HERTZ RENT-A-CAR,-264.94,y,,
Sale,10/19/2017,10/20/2017,CHEVRON 0092038,-31.45,y,,
Sale,10/19/2017,10/20/2017,PORT OF SUBS 0195,-26.27,y,,
Sale,10/19/2017,10/20/2017,IMRAN TAXI SERVICE,-49,y,,
Sale,10/18/2017,10/20/2017,CONESTOGA GOLF CLUB,-20.25,y,,
Sale,10/17/2017,10/19/2017,CASABLANCA GOLF PROSHOP,-19.89,y,,
Sale,10/17/2017,10/19/2017,CASABLANCA CUPS TO GO,-4,y,,
Sale,10/17/2017,10/18/2017,WAL-MART #3847,-53.01,y,,
Sale,10/16/2017,10/18/2017,PALMS GOLF FOOD,-4.5,y,,
Sale,10/16/2017,10/18/2017,PALMS GOLF COURSE,-16.75,y,,
Sale,10/15/2017,10/17/2017,SFOUNION STREET GASTRO,-22.85,y,,
Sale,10/14/2017,10/15/2017,TOWNEPLACE SUITES STLO,-128.17,y,,
Sale,10/13/2017,10/15/2017,IMRAN TAXI SERVICE,-50,y,,
Sale,10/13/2017,10/15/2017,BRIOCHE DOREE MUPR STL,-7.09,y,,
Sale,10/13/2017,10/15/2017,HERTZ RENT-A-CAR,-241.29,y,,
Sale,10/13/2017,10/15/2017,MIKE SHANNONS STL,-29.19,y,,
Sale,10/13/2017,10/15/2017,PHILLIPS 66 - PETRO MART,-11.82,y,,
Sale,10/13/2017,10/15/2017,STARBUCKS MLWR STL,-23.57,y,,
Sale,10/12/2017,10/15/2017,HELEN FITZGERALD'S I,-51.06,y,,
Sale,10/12/2017,10/13/2017,WAL-MART #2694,-13.68,y,,
Sale,10/11/2017,10/12/2017,WAL-MART #2694,-50.85,y,,
Sale,10/10/2017,10/11/2017,WAL-MART #2694,-71.74,y,,
Fee,10/10/2017,10/10/2017,PURCHASE INTEREST CHARGE,-221.99,y,,
Sale,10/9/2017,10/10/2017,WAL-MART #805,-54.83,y,,
Sale,10/8/2017,10/10/2017,SAFEWAY #639,-49.41,y,,
