Type,Trans Date,Post Date,Description,Amount,Category,Memo,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,ic,1529 sars,794+735,,
Sale,3/7/2017,3/9/2017,SAS HOTEL,-40.01,null,null,
Sale,3/7/2017,3/9/2017,SAS HOTEL,-50.41,null,null,
Sale,3/7/2017,3/9/2017,SAS HOTEL,-14.14,null,null,
Sale,3/6/2017,3/8/2017,SAS HOTEL,-14.67,null,null,
Sale,3/6/2017,3/9/2017,SAS HOTEL,-41.34,null,null,
Sale,3/5/2017,3/7/2017,SAS HOTEL,-14.14,null,null,
Sale,3/4/2017,3/7/2017,SAS HOTEL,-21.34,null,null,
Sale,3/4/2017,3/6/2017,SAS HOTEL,-41.34,null,null,
Sale,3/3/2017,3/5/2017,STARBUCKS,-9.34,null,null,
Sale,3/3/2017,3/5/2017,SAS HOTEL,-37.34,null,null,
Sale,3/3/2017,3/5/2017,SAS HOTEL,-13.87,null,null,
Sale,3/2/2017,3/5/2017,SAS HOTEL,-39.48,null,null,
Sale,3/2/2017,3/5/2017,SAS HOTEL,-42.68,null,null,
Sale,3/1/2017,3/3/2017,SAS HOTEL,-37.34,null,null,
Sale,3/1/2017,3/3/2017,STARBUCKS,-22.14,null,null,
Sale,3/1/2017,3/3/2017,SAS HOTEL,-50.68,null,null,
Sale,2/28/2017,3/3/2017,SAS HOTEL,-41.34,null,null,
Sale,2/28/2017,3/2/2017,SAS HOTEL,-42.68,null,null,
Sale,2/27/2017,3/1/2017,SAS HOTEL,-280.07,null,null,
Sale,2/27/2017,3/1/2017,INTER CONTINENTAL,-200.05,null,null,
Sale,2/27/2017,3/2/2017,SAS HOTEL,-40.01,null,null,
Fee,2/27/2017,2/27/2017,TRANSACTION FEE,-10,null,null,
Sale,2/26/2017,2/27/2017,Soul Kitchen and Restaura,-85.6,null,null,
Sale,2/26/2017,2/28/2017,MEED#63003,-53.34,null,null,
Sale,2/26/2017,2/28/2017,INTER CONTINENTAL,-522.5,null,null,
Sale,2/26/2017,2/28/2017,INTER CONTINENTAL,-33.6,null,null,
Fee,2/26/2017,2/26/2017,TRANSACTION FEE,-10,null,null,
Cash Advance,2/26/2017,2/27/2017,KING ABDUAZIZ/KING ABDUAZ,-133.34,null,null,
Cash Advance,2/25/2017,2/26/2017,KING ABDUAZIZ/KING ABDUAZ,-133.34,null,null,
Sale,2/25/2017,2/27/2017,INTER CONTINENTAL,-33.6,null,null,
Sale,2/25/2017,2/27/2017,KAN,-90.67,null,null,
Sale,2/24/2017,2/26/2017,Soul Kitchen and Restaura,-88,null,null,
Sale,2/23/2017,2/27/2017,AL MUSBAH CO,-66.4,null,null,
Sale,2/23/2017,2/27/2017,almusbah 60,-8,null,null,
Sale,2/22/2017,2/23/2017,NAPA FARMS MARKET,-20.97,null,null,
Sale,2/22/2017,2/23/2017,IMRAN TAXI SERVICE,-49,null,null,
Payment,2/20/2017,2/20/2017,Payment Thank You - Web,1000,null,null,
Sale,2/18/2017,2/19/2017,LAMPS PLUS - 39,-243.85,null,null,
Sale,2/18/2017,2/19/2017,VANS #0359,-30.41,null,null,
Sale,2/18/2017,2/20/2017,NORDSTROM #0420,-32.92,null,null,
Sale,2/17/2017,2/19/2017,CHEVRON 0092712,-55.99,null,null,
Payment,2/17/2017,2/17/2017,Payment Thank You - Web,2000,null,null,
Sale,2/16/2017,2/17/2017,ROTO-ROOTER 10193,-335,null,null,
Sale,2/15/2017,2/17/2017,LUFTHANSA   2208211172162,-130,null,null,
Sale,2/14/2017,2/16/2017,SAFEWAY  STORE00006395,-21.79,null,null,
Sale,2/14/2017,2/16/2017,UNITED      0162336069836,-85.4,null,null,
Sale,2/14/2017,2/16/2017,UNITED      0162928676301,-300,null,null,
Sale,2/10/2017,2/12/2017,UNITED      0162335547097,-1427.56,null,null,
Sale,2/10/2017,2/12/2017,DFS GALLERIA HIA DP,-61.67,null,null,
Sale,2/10/2017,2/12/2017,SAN FRANCISCO AP CART,-5,null,null,
Sale,2/10/2017,2/12/2017,IMRAN TAXI SERVICE,-50,null,null,
Sale,2/9/2017,2/12/2017,STARBUCKS MAIN30221527,-27.12,null,null,
Sale,2/9/2017,2/14/2017,STARBUCKS NAIA TERM1,-34.52,null,null,
Sale,2/9/2017,2/12/2017,STORE #5 GATE 9,-15.75,null,null,
Sale,2/7/2017,2/9/2017,STARBUCKS  YUPANGCO,-35.2,null,null,
Sale,2/7/2017,2/9/2017,STARBUCKS  GREENHILLS,-31.59,null,null,
Sale,2/7/2017,2/8/2017,PERI PERI CHARCOAL CHI,-39.06,null,null,
Sale,2/7/2017,2/8/2017,MARRIOTT MANILA FO PHP,-4.82,null,null,
Sale,2/7/2017,2/8/2017,BRILLO JEWELLERS-GREENHIL,-365.63,null,null,
Sale,2/6/2017,2/8/2017,THOUSAND CRANES,-34.27,null,null,
Sale,2/5/2017,2/8/2017,BROTHERS BURGER MAGALL,-30.05,null,null,
Sale,2/5/2017,2/8/2017,KUROMON JAPANESE MARKE,-42.7,null,null,
Sale,2/5/2017,2/8/2017,158 DESIGNERS BLVD NEW,-87.44,null,null,
Sale,2/4/2017,2/5/2017,TOTAL EUROFUEL VILLAMOR,-32.01,null,null,
Sale,2/4/2017,2/8/2017,GERRY S GRILL NEWPORT,-42.31,null,null,
Sale,2/3/2017,2/8/2017,RACKS RESTAURANT  MAGA,-23.62,null,null,
Payment,2/2/2017,2/2/2017,Payment Thank You - Web,1000,null,null,
Fee,2/1/2017,2/1/2017,ANNUAL MEMBERSHIP FEE,-450,null,null,
Sale,1/30/2017,1/31/2017,S &amp; R BACLARAN,-314.37,null,null,
Sale,1/29/2017,1/30/2017,BESTSELLER AIRPORT,-23,null,null,null
Sale,1/28/2017,1/29/2017,OTG MANAGEMENT EWR, LLC,-10.68,null,
Adjustment,1/28/2017,1/29/2017,TRAVEL CREDIT $300/YEAR,49,null,null,null
Sale,1/28/2017,1/29/2017,OTG MANAGEMENT EWR, LLC,-3.44,null,
Sale,1/28/2017,1/29/2017,IMRAN TAXI SERVICE,-49,null,null,
Sale,1/27/2017,1/29/2017,IMRAN TAXI SERVICE,-49.5,null,null,
