Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
1/5/2021,1/7/2021,STEVENS CREEK HYUNDAI SER,Automotive,Sale,-495.13,y,,,,,,,,,
1/5/2021,1/6/2021,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,70,,,,,,,,,,
1/5/2021,1/6/2021,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
1/5/2021,1/5/2021,PUBLIC STORAGE 29120,Home,Sale,-434,,,,,,,,,,
1/2/2021,1/4/2021,THE HOME DEPOT 628,Home,Sale,-13.46,y,,,,,,,,,
12/31/2020,1/4/2021,ISLA RESTAURANT,Food & Drink,Reversal,63.57,y,,,,,,,,,
1/3/2021,1/4/2021,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,40.94,y,,,,,,,,,
1/3/2021,1/4/2021,76 - NW255427 ASD2 NOC,Gas,Sale,-40.94,y,,,,,,,,,
1/3/2021,1/4/2021,FEDEX 940556765615,Personal,Sale,-12.48,y,,,,,,,,,
12/31/2020,1/4/2021,ISLA RESTAURANT,Food & Drink,Sale,-63.57,y,,,,,,,,,
1/2/2021,1/3/2021,THE UPS STORE 0919,Personal,Sale,-3.27,y,,,,,,,,,
12/31/2020,1/3/2021,THE HOME DEPOT 628,Home,Sale,-27.88,,,,,,,,,,
12/31/2020,1/3/2021,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
12/31/2020,1/1/2021,ISLA RESTAURANT,Food & Drink,Sale,-63.57,y,,,,,,,,,
12/30/2020,12/31/2020,AIRPORT HOME APPLIANCE,Home,Return,3547.8,,,,,,,,,,
12/28/2020,12/28/2020,Payment Thank You - Web,,Payment,50,,,,,,,,,,
12/20/2020,12/21/2020,ISLA RESTAURANT,Food & Drink,Sale,-72.35,y,,,,,,,,,
12/16/2020,12/17/2020,LINDSTROM CO.,Home,Sale,-327.38,,,,,,,,,,
12/15/2020,12/16/2020,WELLS FARGO HOME MTG,Professional Services,Sale,-567.46,,,,,,,,,,
12/15/2020,12/16/2020,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,40.02,,,,,,,,,,
12/15/2020,12/16/2020,CHEVRON 0092038,Gas,Sale,-40.02,,,,,,,,,,
12/12/2020,12/13/2020,UBER   EATS,Food & Drink,Sale,-48.4,,,,,,,,,,
12/12/2020,12/13/2020,UBER   EATS,Food & Drink,Sale,-4.84,,,,,,,,,,
12/11/2020,12/13/2020,MCDONALDS  F6641,Food & Drink,Sale,-5.86,,,,,,,,,,
12/3/2020,12/3/2020,Microsoft*Xbox,Bills & Utilities,Sale,-3.99,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2020,12/3/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
11/29/2020,12/1/2020,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
11/30/2020,12/1/2020,LAMPS PLUS 55-39,Home,Sale,-16.41,,,,,,,,,,
11/27/2020,11/30/2020,Wegman`s Nursery,Shopping,Sale,-43.89,y,,,,,,,,,
11/28/2020,11/30/2020,THE HOME DEPOT #0632,Home,Sale,-126.73,,,,,,,,,,
11/30/2020,11/30/2020,PUBLIC STORAGE 29120,Home,Sale,-434,,,,,,,,,,
11/27/2020,11/29/2020,AIRPORT HM APPLIANCE 01,Home,Sale,-360.26,y,,,,,,,,,
11/27/2020,11/29/2020,LAMPS PLUS 55-39,Home,Return,26.25,,,,,,,,,,
11/25/2020,11/27/2020,SHELL OIL 12684923001,Gas,Sale,-45.49,y,,,,,,,,,
11/25/2020,11/26/2020,VENTURA TV VIDEO APPLIANC,Home,Sale,-1100.32,y,,,,,,,,,
11/25/2020,11/26/2020,AL'S CAFE,Food & Drink,Sale,-36.32,y,,,,,,,,,
11/24/2020,11/25/2020,NIELSEN OLYMPIAN GAS,Gas,Sale,-35.05,,,,,,,,,,
11/23/2020,11/24/2020,TST* HAVANA - WALNUT CREE,Food & Drink,Sale,-138.81,y,,,,,,,,,
11/23/2020,11/24/2020,J &amp; J OWENS ELECTRIC,Home,Sale,-350,y,,,,,,,,,
11/23/2020,11/24/2020,Subway 10496,Food & Drink,Sale,-13.89,y,,,,,,,,,
11/21/2020,11/23/2020,GEEK SQUAD    00013268,Shopping,Return,209.98,y,,,,,,,,,
11/21/2020,11/23/2020,BEST BUY      00001404,Shopping,Return,3769.09,y,,,,,,,,,
11/20/2020,11/22/2020,LAMPS PLUS 55-39,Home,Sale,-70,,,,,,,,,,
11/21/2020,11/22/2020,AIRPORT HOME APPLIANCE,Home,Sale,-4454.44,y,,,,,,,,,
11/19/2020,11/22/2020,CARLS JR 1100723,Food & Drink,Sale,-55.68,y,,,,,,,,,
11/19/2020,11/20/2020,PETSMART # 1416,Shopping,Sale,-121.51,y,,,,,,,,,
11/18/2020,11/20/2020,MCDONALDS  F6641,Food & Drink,Sale,-7.17,y,,,,,,,,,
11/17/2020,11/18/2020,Payment Thank You - Web,,Payment,5282.99,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11/14/2020,11/16/2020,MCDONALDS  F6641,Food & Drink,Sale,-16.93,y,,,,,,,,,
11/15/2020,11/16/2020,CHEVRON 0092038,Gas,Sale,-39.6,,,,,,,,,,
11/13/2020,11/15/2020,Subway 15994,Food & Drink,Sale,-13.2,y,,,,,,,,,
11/14/2020,11/15/2020,UBER   EATS,Food & Drink,Sale,-77.02,y,,,,,,,,,
11/12/2020,11/13/2020,Subway 15994,Food & Drink,Sale,-11.48,y,,,,,,,,,
11/11/2020,11/12/2020,BEST TILE INC,Home,Sale,-64.45,y,,,,,,,,,
11/7/2020,11/9/2020,THE HOME DEPOT 632,Home,Sale,-417.71,y,,,,,,,,,
11/8/2020,11/9/2020,BEST BUY      00001404,Shopping,Sale,-4129.06,y,,,,,,,,,
11/7/2020,11/9/2020,U-HAUL-CTR-BELMONT #70878,Automotive,Sale,-83.75,y,,,,,,,,,
11/7/2020,11/8/2020,76 - NW255427 ASD2 NOC,Gas,Sale,-41.11,,,,,,,,,,
11/7/2020,11/8/2020,CHEVRON 0092038,Gas,Sale,-15.03,y,,,,,,,,,
11/6/2020,11/8/2020,Subway 15994,Food & Drink,Sale,-11.48,y,,,,,,,,,
11/4/2020,11/6/2020,THE HOME DEPOT 632,Home,Sale,-306.92,y,,,,,,,,,
11/5/2020,11/5/2020,PUBLIC STORAGE 29120,Home,Sale,-245.93,y,,,,,,,,,
11/4/2020,11/4/2020,Payment Thank You - Web,,Payment,835.78,,,,,,,,,,
11/2/2020,11/4/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
10/30/2020,11/1/2020,WENDYS #3959,Food & Drink,Sale,-22.36,,,,,,,,,,
10/30/2020,11/1/2020,CHEVRON 0092038,Gas,Sale,-38.19,y,,,,,,,,,
10/30/2020,11/1/2020,WENDYS #3959,Food & Drink,Sale,-22.36,,,,,,,,,,
10/26/2020,10/27/2020,YOUR MOVING SERVICES,Home,Sale,-125,y,,,,,,,,,
10/26/2020,10/27/2020,MARRIOTT SAN MATEO,Travel,Sale,-26.04,y,,,,,,,,,
10/23/2020,10/25/2020,UBER   EATS,Food & Drink,Sale,-69.79,,,,,,,,,,
10/18/2020,10/19/2020,PUBLIC STORAGE 29120,Home,Sale,-62.86,y,,,,,,,,,
10/16/2020,10/18/2020,WENDYS #3959,Food & Drink,Sale,-11.18,,,,,,,,,,
10/15/2020,10/16/2020,PUBLIC STORAGE 29120,Home,Sale,-458,y,,,,,,,,,
10/6/2020,10/7/2020,Payment Thank You - Web,,Payment,1165.79,,,,,,,,,,
10/3/2020,10/5/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,,,,,,,,,,
10/3/2020,10/5/2020,THE HOME DEPOT 632,Home,Sale,-472.37,y,,,,,,,,,
10/2/2020,10/4/2020,CHEVRON 0092038,Gas,Sale,-38.01,,,,,,,,,,
9/30/2020,10/2/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-32,,,,,,,,,,
9/23/2020,9/24/2020,IN *MARTIN SCREEN SHOP,Home,Sale,-117.57,y,,,,,,,,,
9/22/2020,9/23/2020,Payment Thank You - Web,,Payment,938.06,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9/19/2020,9/21/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
9/20/2020,9/21/2020,SILK ROAD,Food & Drink,Sale,-66.26,y,,,,,,,,,
9/15/2020,9/16/2020,FASTRAK CSC,Travel,Sale,-70,,,,,,,,,,
9/13/2020,9/14/2020,CHEVRON 0092038,Gas,Sale,-41.28,,,,,,,,,,
9/12/2020,9/14/2020,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-53,y,,,,,,,,,
9/12/2020,9/13/2020,BEST TILE INC,Home,Sale,-64.45,y,,,,,,,,,
9/12/2020,9/13/2020,CHAVEZ SUPERMARKET,Groceries,Sale,-44.85,,,,,,,,,,
9/11/2020,9/13/2020,PATRICIA KERRIGAN,Health & Wellness,Sale,-60,y,,,,,,,,,
9/6/2020,9/8/2020,CITY OF WALNUT CREEK,Travel,Sale,-3,y,,,,,,,,,
