Type,Trans Date,Post Date,Description,Amount,Category,Memo,,,,,,,,,
10/25/2019,10/27/2019,TST* NEW ENGLAND LOBSTER,Food & Drink,Sale,-148.66,y,,,,,,,,,
10/24/2019,10/30/2019,GULF AIR,Travel,Sale,-106.1,y,,,,,,,,,
10/24/2019,10/25/2019,THE MENS WEARHOUSE #2162,Shopping,Sale,-238.72,y,,,,,,,,,
10/24/2019,10/25/2019,THE MENS WEARHOUSE #2162,Shopping,Sale,-1946.35,y,,,,,,,,,
10/23/2019,10/23/2019,Payment Thank You - Web,,Payment,3000,y,,,,,,,,,
10/22/2019,10/24/2019,UNITED      0162478556400,Travel,Sale,-1301.65,UAE y,,,,,,,,,
10/21/2019,10/23/2019,THE HOME DEPOT 632,Home,Sale,-51.79,y,,,,,,,,,
10/21/2019,10/23/2019,SOONS TOFU AND KOREN BBQ,Food & Drink,Sale,-52.77,y,,,,,,,,,
10/21/2019,10/22/2019,CHEVRON 0092038,Gas,Sale,-44.62,y,,,,,,,,,
10/19/2019,10/21/2019,Wegman`s Nursery,Shopping,Sale,-97.87,y,,,,,,,,,
10/18/2019,10/21/2019,SOONS TOFU AND KOREN BBQ,Food & Drink,Sale,-74.24,y,,,,,,,,,
10/18/2019,10/20/2019,CVS/PHARMACY #09977,Health & Wellness,Sale,-10,y,,,,,,,,,
10/15/2019,10/17/2019,UNITED      0162477514538,Travel,Sale,-592.6,NJ y,,,,,,,,,
10/12/2019,10/14/2019,THE LODGE AT TIBURON,Travel,Sale,-5.41,y,,,,,,,,,
10/10/2019,10/10/2019,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-69.26,y,,,,,,,,,
10/9/2019,10/9/2019,Payment Thank You - Web,,Payment,3000,y,,,,,,,,,
9/25/2019,9/27/2019,LEAHI MKT GNG T2 G2 HN,Food & Drink,Sale,-19.77,y,,,,,,,,,
9/25/2019,9/26/2019,SAN FRANCISCO GIANTS CLU,Food & Drink,Sale,-41.6,y,,,,,,,,,
9/25/2019,9/26/2019,UBER   *TRIP,Travel,Sale,-25.36,y,,,,,,,,,
9/25/2019,9/26/2019,UBER   *TRIP,Travel,Sale,-24.38,y,,,,,,,,,
9/24/2019,9/26/2019,SAN FRANCISCO 0955B,Shopping,Sale,-16.38,y,,,,,,,,,
9/24/2019,9/26/2019,PEETS COFFEE SFO #1,Food & Drink,Sale,-8.36,y,,,,,,,,,
9/22/2019,9/24/2019,SHELL OIL 57444678908,Gas,Sale,-48.82,,,,,,,,,,
9/21/2019,9/23/2019,THE GOLF CLUB AT MOFFETT,Entertainment,Sale,-108.42,y,,,,,,,,,
9/20/2019,9/22/2019,LAKE CHABOT GOLF COURSE,Entertainment,Sale,-38,y,,,,,,,,,
9/16/2019,9/18/2019,UNITED      0162472951750,Travel,Sale,-1122.73,Phils y,,,,,,,,,
9/16/2019,9/17/2019,IMRAN TAXI SERVICE,Travel,Sale,-52,y,,,,,,,,,
9/15/2019,9/17/2019,ALASKA AIR  0272140923504,Travel,Sale,-31.2,y,,,,,,,,,
9/15/2019,9/16/2019,RESTAURANT THE RIVER C,Food & Drink,Sale,-55.04,y,,,,,,,,,
9/14/2019,9/16/2019,PANCHO TEQUILA S,Food & Drink,Sale,-266.14,y,,,,,,,,,
9/14/2019,9/15/2019,CAS TRADICIONAL,Food & Drink,Sale,-39.81,y,,,,,,,,,
9/13/2019,9/15/2019,CAT CORA - 73,Food & Drink,Sale,-4.29,y,,,,,,,,,
9/13/2019,9/15/2019,SPA HOTEL SHERATON,Health & Wellness,Sale,-83.75,y,,,,,,,,,
9/12/2019,9/13/2019,LARK CREEK GRILL,Food & Drink,Sale,-44.39,y,,,,,,,,,
9/11/2019,9/12/2019,Payment Thank You - Web,,Payment,5000,y,,,,,,,,,
9/11/2019,9/12/2019,KNOWN TRAVELER CREDIT,Fees & Adjustments,Adjustment,85,y,,,,,,,,,
9/11/2019,9/12/2019,IDENTOGO - TSA PRECHECK,Bills & Utilities,Sale,-85,y,,,,,,,,,
9/11/2019,9/12/2019,CIGARS,Shopping,Sale,-19.38,y,,,,,,,,,
,,,,,,,,,,,,,,,
9/10/2019,9/10/2019,PURCHASE INTEREST CHARGE,,Fee,-84.44,y,,,,,,,,,
9/4/2019,9/6/2019,TEEOFF.COM 8553833633,Entertainment,Sale,-76,y,,,,,,,,,
9/1/2019,9/3/2019,THE GOLF CLUB AT MOFFETT,Entertainment,Sale,-93.67,y,,,,,,,,,
9/1/2019,9/3/2019,FRAME IT ALL,Home,Sale,-1269.94,y,,,,,,,,,
9/2/2019,9/3/2019,CHEVRON 0092038,Gas,Sale,-41.34,,,,,,,,,,
9/2/2019,9/3/2019,HOBEE'S #4,Food & Drink,Sale,-34.18,y,,,,,,,,,
8/31/2019,9/2/2019,TOPPINGS RESTAURANT,Food & Drink,Sale,-44.83,y,,,,,,,,,
8/30/2019,9/1/2019,POPEYES 5928,Food & Drink,Sale,-35.11,y,,,,,,,,,
8/30/2019,9/1/2019,HERTZ RENT-A-CAR,Travel,Sale,-244.9,y,,,,,,,,,
8/31/2019,9/1/2019,RENTAL CAR TOLLS,Travel,Sale,-6.75,y,,,,,,,,,
8/30/2019,9/1/2019,UA INFLT    0161531636681,Travel,Sale,-10,,,,,,,,,,
8/30/2019,9/1/2019,RESIDENCE INN BALTIMOR,Travel,Sale,-574.05,y,,,,,,,,,
8/30/2019,9/1/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.7,y,,,,,,,,,
8/29/2019,8/30/2019,TST* R&amp;R SEAFOOD BAR,Food & Drink,Sale,-69.89,y,,,,,,,,,
8/29/2019,8/30/2019,BP#9309592ELKRIDGE BP,Gas,Sale,-8.63,y,,,,,,,,,
8/28/2019,8/29/2019,UBER   *EATS,Food & Drink,Sale,-58.71,y,,,,,,,,,
8/28/2019,8/29/2019,UBER   *EATS,Food & Drink,Sale,-6.66,y,,,,,,,,,
8/28/2019,8/28/2019,Payment Thank You - Web,,Payment,3500,y,,,,,,,,,
8/27/2019,8/28/2019,SAN FRANCISCO GIANTS CLU,Food & Drink,Sale,-19.79,y,,,,,,,,,
8/28/2019,8/28/2019,UBER   *EATS,Food & Drink,Sale,-6.88,y,,,,,,,,,
8/27/2019,8/28/2019,UBER   *EATS,Food & Drink,Sale,-57.42,y,,,,,,,,,
8/27/2019,8/27/2019,UBER   *EATS,Food & Drink,Sale,-28.24,y,,,,,,,,,
8/27/2019,8/27/2019,UBER   *EATS,Food & Drink,Sale,-5.25,y,,,,,,,,,
8/26/2019,8/27/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.85,y,,,,,,,,,
8/24/2019,8/26/2019,THE FISH MARKET SM,Food & Drink,Sale,-67.65,y,,,,,,,,,
8/23/2019,8/26/2019,DREW PEARSON'S SPORTS 88,Food & Drink,Sale,-10.81,y,,,,,,,,,
8/23/2019,8/26/2019,DREW PEARSON'S SPORTS 88,Food & Drink,Sale,-25.13,y,,,,,,,,,
8/23/2019,8/25/2019,QT 969        08009698,Gas,Sale,-20,y,,,,,,,,,
8/23/2019,8/25/2019,HERTZ RENT-A-CAR,Travel,Sale,-316.87,y,,,,,,,,,
8/24/2019,8/25/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.6,y,,,,,,,,,
8/24/2019,8/25/2019,SPRINGHILL SUITES ROCK,Travel,Sale,-720.38,y,,,,,,,,,
8/23/2019,8/25/2019,DFW IHOP,Food & Drink,Sale,-27.09,y,,,,,,,,,
8/20/2019,8/22/2019,FUZZY TACO SHOP ROCKWALL,Food & Drink,Sale,-23.63,y,,,,,,,,,
8/21/2019,8/22/2019,BEST BUY      00014175,Shopping,Sale,-140.71,y,,,,,,,,,
8/21/2019,8/22/2019,PORTLAND LUGGAGE,Shopping,Sale,-60,y,,,,,,,,,
8/22/2019,8/22/2019,UBER   *EATS,Food & Drink,Sale,-6.37,y,,,,,,,,,
8/22/2019,8/22/2019,UBER   *EATS,Food & Drink,Sale,-52.5,y,,,,,,,,,
8/20/2019,8/22/2019,EDOHANA,Food & Drink,Sale,-82.32,y,,,,,,,,,
8/20/2019,8/22/2019,WAL-MART #0259     SE2,Groceries,Return,107.17,y,,,,,,,,,
8/20/2019,8/21/2019,BEST BUY      00014175,Shopping,Sale,-432.99,y,,,,,,,,,
8/19/2019,8/21/2019,EDOHANA,Food & Drink,Sale,-56.34,y,,,,,,,,,
8/19/2019,8/20/2019,WM SUPERCENTER #259,Groceries,Sale,-107.17,y,,,,,,,,,
8/19/2019,8/20/2019,UBER   *EATS,Food & Drink,Return,14.65,y,,,,,,,,,
8/19/2019,8/20/2019,UA INFLT    0161529161232,Travel,Sale,-10,y,,,,,,,,,
8/18/2019,8/20/2019,GORDON BIERSCH SFO,Food & Drink,Sale,-5.57,y,,,,,,,,,
8/19/2019,8/20/2019,UBER   *EATS,Food & Drink,Sale,-3.97,y,,,,,,,,,
8/19/2019,8/19/2019,UBER   *EATS,Food & Drink,Sale,-32.62,y,,,,,,,,,
8/17/2019,8/19/2019,LEE'S SANDWICHES,Food & Drink,Sale,-29.1,y,,,,,,,,,
8/17/2019,8/19/2019,Starbird Chicken - Foster,Food & Drink,Sale,-44.48,,,,,,,,,,
8/18/2019,8/19/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.35,y,,,,,,,,,
8/14/2019,8/16/2019,UNITED      0162467785023,Travel,Sale,-776.6,Bwi y,,,,,,,,,
8/11/2019,8/13/2019,MILLBRAE PANCAKE HOUSE,Food & Drink,Sale,-51.7,y,,,,,,,,,
8/9/2019,8/9/2019,PURCHASE INTEREST CHARGE,,Fee,-40.53,y,,,,,,,,,
8/7/2019,8/9/2019,UNITED      0162466666158,Travel,Sale,-476.6,y TX,,,,,,,,,
8/4/2019,8/7/2019,UNITED      0162464436309,Travel,Return,726.6,y refund,,,,,,,,,
8/5/2019,8/6/2019,INNOVATION LUGGAGE,Shopping,Sale,-30,y,,,,,,,,,
8/5/2019,8/6/2019,INNOVATION LUGGAGE,Shopping,Sale,-30,y,,,,,,,,,
8/4/2019,8/6/2019,BON CHON CHICKEN,Food & Drink,Sale,-54.92,y,,,,,,,,,
8/3/2019,8/5/2019,Barleygarden,Food & Drink,Sale,-21,y,,,,,,,,,
8/4/2019,8/5/2019,UA INFLT    0161525615998,Travel,Sale,-10,y,,,,,,,,,
8/4/2019,8/4/2019,Payment Thank You - Web,,Payment,5000,y,,,,,,,,,
8/2/2019,8/4/2019,THE HOTEL AT AVALON  A,Travel,Sale,-1453.54,y,,,,,,,,,
8/1/2019,8/4/2019,THE EL FELIX,Food & Drink,Sale,-29.67,y,,,,,,,,,
8/1/2019,8/4/2019,RUMIS AVALON LLC,Food & Drink,Sale,-45.83,y,,,,,,,,,
8/3/2019,8/4/2019,UBER   *TRIP,Travel,Sale,-46.51,y,,,,,,,,,
8/3/2019,8/4/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.9,y,,,,,,,,,
8/1/2019,8/4/2019,HOTEL AT AVALON,Food & Drink,Sale,-17.09,y,,,,,,,,,
8/3/2019,8/4/2019,THE HOTEL AT AVALON  A,Travel,Sale,-244.5,y,,,,,,,,,
,,,,,,,,,,,,,,,
7/31/2019,8/2/2019,HOTEL AT AVALON,Food & Drink,Sale,-17.09,y,,,,,,,,,
7/30/2019,8/1/2019,GOLDBERGS AVALON,Food & Drink,Sale,-18.15,y,,,,,,,,,
7/30/2019,7/31/2019,Barleygarden,Food & Drink,Sale,-34,y,,,,,,,,,
7/29/2019,7/31/2019,HOTEL AT AVALON,Food & Drink,Sale,-20.32,y,,,,,,,,,
7/28/2019,7/30/2019,RUMIS AVALON LLC,Food & Drink,Sale,-51.28,y,,,,,,,,,
7/28/2019,7/30/2019,KLEIN'S DELI - F,Food & Drink,Sale,-14.1,y,,,,,,,,,
7/28/2019,7/29/2019,IHOP,Food & Drink,Sale,-15.94,y,,,,,,,,,
7/27/2019,7/29/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.25,y,,,,,,,,,
7/27/2019,7/29/2019,UA INFLT    0161523827979,Travel,Sale,-10,y,,,,,,,,,
7/28/2019,7/29/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.85,y,,,,,,,,,
7/27/2019,7/28/2019,RESIDENCE INN BALTIMOR,Travel,Sale,-964.45,y,,,,,,,,,
7/26/2019,7/28/2019,SHELL OIL 57542187703,Gas,Sale,-26.12,y,,,,,,,,,
7/26/2019,7/28/2019,HERTZ RENT-A-CAR,Travel,Sale,-306.13,y,,,,,,,,,
7/26/2019,7/28/2019,OBRYCKIS R&amp;R SEAFOOD BAR,Food & Drink,Sale,-61.59,y,,,,,,,,,
7/26/2019,7/26/2019,UBER   *EATS,Food & Drink,Sale,-5.84,y,,,,,,,,,
7/26/2019,7/26/2019,UBER   *EATS,Travel,Sale,-49.12,y,,,,,,,,,
7/25/2019,7/26/2019,JAES GRILL II,Groceries,Sale,-12.7,y,,,,,,,,,
7/24/2019,7/26/2019,UNITED      0162464436309,Travel,Sale,-726.6, y Need to get a full refund MD,,,,,,,,,
7/24/2019,7/25/2019,JAES GRILL II,Groceries,Sale,-7.41,y,,,,,,,,,
7/22/2019,7/24/2019,UNITED      0162457625311,Travel,Return,213.51,y,,,,,,,,,
7/22/2019,7/23/2019,SFOUNION STREET GASTRO,Food & Drink,Sale,-43.71,y,,,,,,,,,
7/21/2019,7/23/2019,HERTZ RENT-A-CAR,Travel,Sale,-251.17,y,,,,,,,,,
7/21/2019,7/23/2019,ALOHA 0107345100,Gas,Sale,-8.42,,,,,,,,,,
7/23/2019,7/23/2019,UBER   *EATS,Travel,Sale,-6,y,,,,,,,,,
7/23/2019,7/23/2019,UBER   *EATS,Food & Drink,Sale,-55.54,y,,,,,,,,,
7/22/2019,7/22/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.1,y,,,,,,,,,
7/21/2019,7/22/2019,WYNDHAM RES SVC ROYAL GD,Travel,Sale,-269.57,y,,,,,,,,,
7/21/2019,7/22/2019,WYNDHAM RES SVC ROYAL GD,Travel,Sale,-45.57,y,,,,,,,,,
7/21/2019,7/21/2019,Payment Thank You - Web,,Payment,2500,y,,,,,,,,,
7/19/2019,7/21/2019,CHAMPS 14102,Shopping,Sale,-83.91,,,,,,,,,,
7/19/2019,7/21/2019,DOLE PLANTATION,Entertainment,Sale,-52.36,,,,,,,,,,
7/19/2019,7/21/2019,RENTAL CAR TOLLS,Travel,Sale,-1.07,y,,,,,,,,,
7/18/2019,7/19/2019,CCH PARKING METER FEE,Bills & Utilities,Sale,-5.75,,,,,,,,,,
7/15/2019,7/17/2019,GUCCI #68,Shopping,Sale,-1649.37,,,,,,,,,,
7/14/2019,7/16/2019,UA INFLT    0161520558856,Travel,Sale,-10,,,,,,,,,,
7/14/2019,7/15/2019,76 - DBA CRYSTAL SPRINGS,Gas,Sale,-47.3,,,,,,,,,,
7/12/2019,7/15/2019,EXXONMOBIL    47881214,Gas,Sale,-8.8,y,,,,,,,,,
7/13/2019,7/14/2019,FAIRFIELD INN &amp; SUITES,Travel,Sale,-819.25,y,,,,,,,,,
7/12/2019,7/14/2019,NOSHVIILE DELI AB BNA,Food & Drink,Sale,-17.95,y,,,,,,,,,
7/12/2019,7/14/2019,HERTZ RENT-A-CAR,Travel,Sale,-268.84,y,,,,,,,,,
7/11/2019,7/14/2019,UNITED      0162462318169,Travel,Sale,-676.6,y BWI,,,,,,,,,
7/13/2019,7/14/2019,Payment Thank You - Web,,Payment,3000,y,,,,,,,,,
7/13/2019,7/14/2019,SQ *TAXI,Travel,Sale,-51.7,y,,,,,,,,,
7/11/2019,7/14/2019,WENDYS 629,Food & Drink,Sale,-3.36,y,,,,,,,,,
7/11/2019,7/12/2019,JERSEY MIKES 4027,Food & Drink,Sale,-13.66,y,,,,,,,,,
7/10/2019,7/12/2019,BUTCHERTOWN HALL,Food & Drink,Sale,-68.73,y,,,,,,,,,
7/10/2019,7/11/2019,JERSEY MIKES 4027,Food & Drink,Sale,-10.08,y,,,,,,,,,
7/10/2019,7/10/2019,PURCHASE INTEREST CHARGE,,Fee,-75.84,y,,,,,,,,,
7/8/2019,7/10/2019,ARBYS #239 NASHVILLE,Food & Drink,Sale,-6,y,,,,,,,,,
7/9/2019,7/10/2019,RENTAL CAR TOLLS,Travel,Sale,-5.29,y,,,,,,,,,
7/9/2019,7/10/2019,JERSEY MIKES 4027,Food & Drink,Sale,-25.04,y,,,,,,,,,
7/9/2019,7/10/2019,JERSEY MIKES 4027,Food & Drink,Sale,-15.2,y,,,,,,,,,
7/9/2019,7/9/2019,UBER   *EATS,Travel,Sale,-6.43,y,,,,,,,,,
7/9/2019,7/9/2019,UBER   *EATS,Food & Drink,Sale,-55.8,y,,,,,,,,,
7/7/2019,7/9/2019,BUTCHERTOWN HALL,Food & Drink,Sale,-47.61,y,,,,,,,,,
7/7/2019,7/9/2019,MISSION BAR AND GRILL,Food & Drink,Sale,-24.08,y,,,,,,,,,
7/7/2019,7/8/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.9,y,,,,,,,,,
7/4/2019,7/7/2019,DUARTES TAVERN,Food & Drink,Sale,-151.01,y,,,,,,,,,
7/5/2019,7/7/2019,TOPPINGS RESTAURANT,Food & Drink,Sale,-43.74,y,,,,,,,,,
7/5/2019,7/7/2019,LIVERMORE PLEASANTON ROD,Professional Services,Sale,-40,y,,,,,,,,,
7/4/2019,7/5/2019,MORE FOR LESS NUMBER 09,Gas,Sale,-41.16,y,,,,,,,,,
6/28/2019,6/30/2019,TPA TERM A DUCKY'S,Food & Drink,Sale,-37.07,y,,,,,,,,,
6/28/2019,6/30/2019,SHELL OIL 50988950122,Gas,Sale,-32.21,y,,,,,,,,,
6/28/2019,6/30/2019,SHELL OIL 12661520002,Gas,Sale,-40.4,y,,,,,,,,,
6/29/2019,6/30/2019,Payment Thank You - Web,,Payment,3000,y,,,,,,,,,
6/28/2019,6/30/2019,HERTZ RENT-A-CAR,Travel,Sale,-414.73,y,,,,,,,,,
6/29/2019,6/30/2019,RESIDENCE INN TALLAHAS,Travel,Sale,-80.65,y,,,,,,,,,
6/28/2019,6/30/2019,HERTZ RENT-A-CAR,Travel,Sale,-156.35,y,,,,,,,,,
6/29/2019,6/30/2019,RESIDENCE INN TALLAHAS,Travel,Sale,-795.4,y,,,,,,,,,
6/29/2019,6/30/2019,CHILI'S OCALA,Food & Drink,Sale,-18.1,y,,,,,,,,,
6/29/2019,6/30/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.1,y,,,,,,,,,
6/26/2019,6/28/2019,WILD CAJUN  SEAFOOD &amp; O.,Food & Drink,Sale,-77.65,y,,,,,,,,,
6/25/2019,6/27/2019,SIAM SUSHI,Food & Drink,Sale,-37.25,y,,,,,,,,,
6/26/2019,6/27/2019,NEWKS EATERY TALLAHASSEE,Food & Drink,Sale,-21.69,y,,,,,,,,,
6/24/2019,6/26/2019,GORDOS RESTAURANT,Food & Drink,Sale,-11.56,y,,,,,,,,,
6/25/2019,6/26/2019,TIJUANA FLATS BURRITO CO,Food & Drink,Sale,-9.34,y,,,,,,,,,
6/24/2019,6/25/2019,GOLDEN GATE TOLL INVOI,Travel,Sale,-8,y,,,,,,,,,
6/25/2019,6/25/2019,SAKURA SUSHI AND GRILL,Food & Drink,Sale,-59.18,y,,,,,,,,,
6/23/2019,6/24/2019,IMRAN TAXI SERVICE,Travel,Sale,-50.65,y,,,,,,,,,
6/22/2019,6/24/2019,THE HALAL GUYS,Food & Drink,Sale,-17.42,y,,,,,,,,,
6/22/2019,6/24/2019,UNITED      0162459475565,Travel,Sale,-736.6,y BNA,,,,,,,,,
6/21/2019,6/24/2019,CAFE EXPRESS,Food & Drink,Sale,-10.37,y,,,,,,,,,
6/20/2019,6/23/2019,CAFE EXPRESS,Food & Drink,Sale,-8.92,y,,,,,,,,,
6/23/2019,6/23/2019,SQ *CHATIME,Food & Drink,Sale,-6.5,y,,,,,,,,,
6/22/2019,6/23/2019,MARRIOTT SACRAMENTO RA,Travel,Sale,-918.67,y,,,,,,,,,
6/22/2019,6/23/2019,76 - DAAC HAYWARD 92,Gas,Sale,-11.98,y,,,,,,,,,
6/21/2019,6/23/2019,HERTZ RENT-A-CAR,Travel,Sale,-277.66,y,,,,,,,,,
6/22/2019,6/23/2019,76 - DAAC HAYWARD 92,Gas,Sale,-65.82,y,,,,,,,,,
6/22/2019,6/23/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.75,y,,,,,,,,,
6/19/2019,6/21/2019,CAFE EXPRESS,Food & Drink,Sale,-8.85,y,,,,,,,,,
6/19/2019,6/21/2019,MARRIOTT SACRAMENTO RA,Travel,Sale,-41.72,y,,,,,,,,,
6/18/2019,6/20/2019,RUDYS HIDEAWAY,Food & Drink,Sale,-35.2,y,,,,,,,,,
6/18/2019,6/20/2019,BROCKWAY HAIR DSGN #9,Personal,Sale,-25,y,,,,,,,,,
6/18/2019,6/20/2019,ARIGATO SUSHI,Food & Drink,Sale,-67.11,y,,,,,,,,,
6/18/2019,6/20/2019,UNITED      0162458800031,Travel,Sale,-533.6,y ATL,,,,,,,,,
6/19/2019,6/20/2019,SQ *DRY DIGGINGS DISTILLE,Groceries,Sale,-306.7,y,,,,,,,,,
6/17/2019,6/19/2019,BROOKFIELDS RESTAURANT -,Food & Drink,Sale,-42.69,y,,,,,,,,,
6/17/2019,6/19/2019,IN N OUT BURGER 122,Food & Drink,Sale,-7.14,y,,,,,,,,,
6/16/2019,6/18/2019,ARIGATO SUSHI,Food & Drink,Sale,-82.55,y,,,,,,,,,
6/17/2019,6/17/2019,IMRAN TAXI SERVICE,Travel,Sale,-50.85,y,,,,,,,,,
6/15/2019,6/16/2019,RED ROBIN NO 196,Food & Drink,Sale,-38.8,y,,,,,,,,,
6/15/2019,6/16/2019,TOTAL WINE AND MORE 1128,Food & Drink,Sale,-216.88,y,,,,,,,,,
6/11/2019,6/13/2019,UNITED      0162457625311,Travel,Sale,-922.4,y TPA,,,,,,,,,
6/9/2019,6/11/2019,THE GOLF CLUB AT MOFFETT,Entertainment,Sale,-84,y,,,,,,,,,
6/10/2019,6/10/2019,PURCHASE INTEREST CHARGE,,Fee,-25.74,y,,,,,,,,,
6/7/2019,6/10/2019,CENEX KB   KS 09901018,Gas,Sale,-14.05,y,,,,,,,,,
6/9/2019,6/10/2019,OREILLY AUTO #3468,Automotive,Sale,-177.01,y,,,,,,,,,
6/6/2019,6/9/2019,HAYS LIQUOR MART,Food & Drink,Sale,-51.4,y,,,,,,,,,
6/9/2019,6/9/2019,THE GOLF MART,Shopping,Sale,-109.24,y,,,,,,,,,
6/8/2019,6/9/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.65,y,,,,,,,,,
6/7/2019,6/9/2019,EXPRESS MARKET CON B,Shopping,Sale,-25.92,y,,,,,,,,,
6/7/2019,6/9/2019,HERTZ RENT-A-CAR,Travel,Sale,-162.59,y,,,,,,,,,
6/8/2019,6/9/2019,TOWNEPLACE SUITES HAYS,Travel,Sale,-580.59,y,,,,,,,,,
6/5/2019,6/7/2019,JIMMY JOHNS # 1084 -,Food & Drink,Sale,-55.2,y,,,,,,,,,
6/4/2019,6/6/2019,OSAKI JAPANESE RESTAURAN,Food & Drink,Sale,-70.65,y,,,,,,,,,
6/5/2019,6/6/2019,GUTIERREZ/ TRIO,Food & Drink,Sale,-50.36,y,,,,,,,,,
6/4/2019,6/5/2019,BILLY SIMS BBQ - HAYS,Food & Drink,Sale,-28.54,y,,,,,,,,,
6/3/2019,6/5/2019,SFOUNION STREET GASTRO,Food & Drink,Sale,-28.25,y,,,,,,,,,
6/3/2019,6/4/2019,IMRAN TAXI SERVICE,Travel,Sale,-51.7,y,,,,,,,,,
6/2/2019,6/2/2019,Payment Thank You - Web,,Payment,2500,y,,,,,,,,,
5/30/2019,6/2/2019,SOLE RISTORANTE ITALIA,Food & Drink,Sale,-235.65,y,,,,,,,,,
5/25/2019,5/27/2019,UA INFLT    0161510113170,Travel,Sale,-19,y,,,,,,,,,
5/24/2019,5/26/2019,UNITED      0162454863814,Travel,Sale,-658.1,y HYS,,,,,,,,,
5/24/2019,5/26/2019,NOSHVIILE DELI AB BNA,Food & Drink,Sale,-18.93,,,,,,,,,,
5/25/2019,5/26/2019,IMRAN TAXI SERVICE,Travel,Sale,-52.25,y,,,,,,,,,
5/25/2019,5/26/2019,FAIRFIELD INN &amp; SUITES,Travel,Sale,-1122.16,y,,,,,,,,,
5/24/2019,5/26/2019,HERTZ RENT-A-CAR,Travel,Sale,-270.26,y,,,,,,,,,
5/24/2019,5/26/2019,HBOOKSELLER ST810,Shopping,Sale,-126.71,,,,,,,,,,
5/25/2019,5/26/2019,Payment Thank You - Web,,Payment,2500,y,,,,,,,,,
,,,,,,,,,,,,,,,
5/23/2019,5/24/2019,BAY AREA BRIDGE TOLL P,Travel,Sale,-8,y,,,,,,,,,
5/22/2019,5/24/2019,BUTCHERTOWN HALL,Food & Drink,Sale,-57.89,y,,,,,,,,,
5/22/2019,5/23/2019,TST* PEG LEG PORKER,Food & Drink,Sale,-30.42,y,,,,,,,,,
5/20/2019,5/22/2019,UNITED      0162926955563,Travel,Sale,-93,y,,,,,,,,,
5/21/2019,5/22/2019,FRUGAL MACDOOGAL LIQUO,Food & Drink,Sale,-142,y,,,,,,,,,
5/20/2019,5/22/2019,UNITED      0162926955562,Travel,Sale,-99,y,,,,,,,,,
5/21/2019,5/22/2019,UNITED      0162926955563,Travel,Return,93,y,,,,,,,,,
5/21/2019,5/22/2019,UNITED      0162926955562,Travel,Return,99,y,,,,,,,,,
5/20/2019,5/22/2019,HOLIDAY INN EXPRESS MCKI,Travel,Sale,-962.82,y,,,,,,,,,
5/21/2019,5/22/2019,JERSEY MIKES 4027,Food & Drink,Sale,-16.09,y,,,,,,,,,
5/19/2019,5/21/2019,SQ *SF &amp; SUPER CAB,Travel,Sale,-15.6,y,,,,,,,,,
5/20/2019,5/21/2019,KLEIN'S DELI - F,Food & Drink,Sale,-32.9,y,,,,,,,,,
5/20/2019,5/21/2019,JERSEY MIKES 4027,Food & Drink,Sale,-27.18,y ,,,,,,,,,
5/20/2019,5/21/2019,FAIRFIELD INN &amp; SUITES,Travel,Sale,-177.68,y,,,,,,,,,
5/20/2019,5/21/2019,JERSEY MIKES 4027,Food & Drink,Sale,-10.5,y,,,,,,,,,
5/19/2019,5/21/2019,HERTZ RENT-A-CAR,Travel,Sale,-181.29,y,,,,,,,,,
5/19/2019,5/21/2019,GOLDEN GATE WILLITS 42,Gas,Sale,-42.23,,,,,,,,,,
5/17/2019,5/20/2019,TOMO JAPANESE RESTAURANT,Food & Drink,Sale,-163.61,y,,,,,,,,,
5/19/2019,5/20/2019,CHEVRON 0092038,Gas,Sale,-28.51,y,,,,,,,,,
5/19/2019,5/20/2019,CKE*HUMBOLDT BREWS   856,Food & Drink,Sale,-96.77,y,,,,,,,,,
5/17/2019,5/20/2019,ARCATA LIQUOR,Food & Drink,Sale,-140,y,,,,,,,,,
5/18/2019,5/20/2019,SAMOA COOKHOUSE,Food & Drink,Sale,-136.37,y,,,,,,,,,
5/17/2019,5/19/2019,HOPLAND GAS &amp; MART,Gas,Sale,-18.24,y,,,,,,,,,
5/18/2019,5/19/2019,CHEVRON 0305864,Gas,Sale,-66.2,,,,,,,,,,
5/16/2019,5/16/2019,Payment Thank You - Web,,Payment,4000,y,,,,,,,,,
5/11/2019,5/12/2019,UBER   EATS,Travel,Sale,-6,y,,,,,,,,,
5/11/2019,5/12/2019,UBER   EATS,Travel,Sale,-43.37,y,,,,,,,,,
5/10/2019,5/10/2019,PURCHASE INTEREST CHARGE,,Fee,-78.62,y,,,,,,,,,
5/8/2019,5/9/2019,UNITED      0162452149016,Travel,Sale,-656.6,y BNA,,,,,,,,,
