INV-0104,Unit A,01 May 2016,06 May 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0105,Unit B,01 May 2016,06 May 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0106,Unit D,01 May 2016,06 May 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0107,Unit E,01 May 2016,06 May 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0108,Unit C,01 May 2016,06 May 2016,Rent,PHP,"13,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0109,Unt F,01 May 2016,06 May 2016,Rent,PHP,"14,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0110,Unit A,01 May 2016,06 May 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0111,Unit B,01 May 2016,06 May 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0112,Unit C,01 May 2016,06 May 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0113,Unit D,01 May 2016,06 May 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0114,Unit E,01 May 2016,05 Jun 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0115,Unit F,01 May 2016,06 May 2016,Dues,PHP,"1,000.00",0.00,Paid,Receivable Invoice,Not sent
INV-0116,Unit A,01 May 2016,06 May 2016,Water,PHP,720.00,0.00,Paid,Receivable Invoice,Not sent
INV-0117,Unit B,01 May 2016,06 May 2016,Water,PHP,780.00,0.00,Paid,Receivable Invoice,Not sent
INV-0118,Unit C,01 May 2016,06 May 2016,Water,PHP,900.00,0.00,Paid,Receivable Invoice,Not sent
INV-0119,Unit D,01 May 2016,05 Jun 2016,Water,PHP,780.00,0.00,Paid,Receivable Invoice,Not sent
INV-0120,Unit E,01 May 2016,06 May 2016,Water,PHP,"1,380.00",0.00,Paid,Receivable Invoice,Not sent
